Reason_Theme,CiteKey,ID,Algo_Theme,DecisionTheme,Man_Theme,Match,Title,Year,PublicationTitle,Creators,Publisher,AffiliationCountry,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,Num_Factors,F1,F2,F3,F4,F5,F6,F7,F8,F9,F1_THEME,F2_THEME,F3_THEME,F4_THEME,F5_THEME,F6_THEME,F7_THEME,F8_THEME,F9_THEME,NUM_FAC_NOTSIG,FNS1,FNS2,FNS3,FNS4,ResearchType,SampleSize,METHOD1,METHOD2,METHOD3,METHOD4,Tech,THEORY1,THEORY2,THEORY3,THEORY4,LIMIT1,LIMIT2,LIMIT3,Abstract
In agreement,,p2_72,"psychological, perceptive, demographic",psychological,psychological ,1,"factors influencing mobile banking adoption in cambodia:the structuring of tam, dit, and trust with tpb",2022,,sokha norng,,,mobile banking,technology acceptance model,diffusion of innovation theory,theory of planned behavior,confirmatory factor analysis,structural equation model.,NA,NA,NA,NA,7,pu,peou,attd,sbj_nrm,pcompat,obsrv,trst,,,perceptive,perceptive,psychological,social,perceptive,external,psychological,,,1,trst,,,,quantitative,,cfa,path analysis,,,mobile banking,tam,dit,tpb,,,,,"There is a significant growth in mobile banking adoption, accompanied by service providers such as financial institutions or banks in Cambodia; however, little is known about customers’ attitude and intention to adopt mobile banking. Therefore, this study aims at analyzing factors that influence customers’ intention to adopt mobile banking by structuring the Technology Acceptance Model, the Diffusion of Innovation Theory, and Trust with the Theory of Planned Behavior. The study uses a survey questionnaire with 385 mobile banking adopters who live in Phnom Penh City. By using Amos software to run confirmatory factor analysis and path analysis, the result shows that perceived usefulness and perceived ease of use have a significant positive effect on attitude. Furthermore, attitude, subjective norm, perceived compatibility, and observability positively affect behavioral intention. However, trust does not have a significant impact on behavioral intention. Finally, perceived behavioral control significantly interacts between attitudes and behavioral intention. © 2022, Asia Business Research Corporation. All rights reserved."
government support,,p2_73,"psychological, personal, demographic",perceptive,perceptive,0,factors influencing mobile banking adoption in india: the role of government support as a mediator,2023,,noopur saxena,,,government support,india,mobile banking,tr,utaut,NA,NA,NA,NA,NA,4,pu,peou,socinf,prisk,,,,,,perceptive,perceptive,social,perceptive,,,,,,0,,,,,quantitative,405,pls sem,,,,mobile banking,tam,tpb,,,,,,"This study aims to objectively examine the factors influencing mobile banking adoption in India. There has been a model put forth that is founded on the unified theory of acceptance and use of technology and technology readiness. Data was collected from 536 mobile banking users. The primary determinants influencing mobile banking adoption were assessed using structural equation modeling. The study's conclusions indicate that the most significant predictors of behavioral intention to use mobile banking are factors such as performance expectancy, effort expectancy, social influence, optimism, and innovativeness. The relationship between users' behavioral intentions and adoption of mobile banking is partially mediated by government support. With the help of this study, mobile banking service providers in urban India will be better able to develop new services or modify current ones to boost the adoption of mobile banking."
ewallet,BelmonteFactorsInfluencingtheIntention2024,p2_74,"market, perceptive, psychological",market,"market, demographic",1,factors influencing the intention to use e-wallet among generation z and millennials in the philippines: an extended technology acceptance model (tam) approach,2024,acta psychologica,"zachariah john a. belmonte, yogi tri prasetyo, maela madel l. cahigas, reny nadlifatin, ma. janice j. gumasing",elsevier,philippines,consumer adoption,mobile banking,fit indexes,trust,preference,security,privacy,ease,NA,NA,7,peou,pu,socinf,alts,ptrst,psec,pval,,,perceptive,perceptive,social,external,perceptive,perceptive,perceptive,,,0,,,,,quantitative,500,pls sem,,,,e-wallet,tam,,,,sample,loc_specific,no_long,"the use of e-wallets in the philippines experienced remarkable growth in recent years. this study investigated the key factors influencing the intention to use e-wallets among generation z and millennials in the country, employing an extended technology acceptance model (tam) framework. a total of 500 respondents from these demographic groups participated in an online survey featuring 24 indicators, selected through a stratified sampling method. using partial least square - structural equation modeling (pls-sem), the analysis revealed that perceived ease of use, perceived usefulness, social influence, attractiveness of alternatives, perceived trust, perceived security, and perceived value significantly influenced users intention to adopt e-wallets. notably, perceived trust emerged as a stronger predictor than perceived value. this research provided valuable insights into the factors shaping user intentions and consumer satisfaction, enhancing the understanding of e-wallet adoption in the industry. furthermore, the incorporation of the extended tam strengthened the theoretical framework for studying e-wallet adoption in developing countries like the philippines."
In agreement,,p2_75,"psychological, market, social",psychological,"social, psychological",1,factors that influence customer trust and satisfaction in mobile banking: a problematization approach,2021,international journal of e-business research,"ahmed geebren, abdul jabbar",igi global,england,information-systems success,initial trust,mclean model,e-commerce,continuance intention,empirical-examination,behavioral intention,internet banking,adoption,delone,5,sys_qual,info_qual,serv_qual,ser,task_char,,,,,external,external,external,external,external,,,,,0,,,,,conceptual qualitative,,review,,,,mobile banking,dm,,,,limit_scope,limit_method,,"over the last decade, banks have significantly invested in mobile banking. while mobile banking research focuses increasingly on adoption and behavioural intention, and post-adoption behaviours such as customer satisfaction have been given little attention. this paper draws on the information system success model to look into the antecedents of trust and satisfaction in mobile banking. it adopts the problematization and the systematic literature review approaches to problematize, organise, and integrate previously published literature related to trust in mobile banking in the post-adoption stage. the paper proposes a conceptual model with five factors that influence customer trust in mobile banking: system quality, information quality, services quality, structural insurance, and task characteristics. the relationships between the independent variables and satisfaction are mediated by trust. this paper is one of the first to discuss the delone and mclean model within a customer trust and satisfaction framework."
In agreement,msweliFinancialInclusionElderly2021h,p2_76,"demographic, social, personal",demographic,demographic,1,financial inclusion of the elderly:exploring the role of mobile banking adoption,2021,,nkosikhona theoren msweli,,,actor-network theory,developing countries,elderly,financial inclusion,technology adoption.,NA,NA,NA,NA,NA,5,dig_cabl,fin_lit,cog_dec,soc_iso,no_service,,,,,personal,personal,psychological,social,external,,,,,0,,,,,qualitative,,thematic analysis,,,,mobile banking,,,,,,,,"The extant literature highlights that mobile banking offers various benefits for consumers. However, there is only a limited number of studies that investigate mobile banking adoption by the elderly. This study investigates the factors influencing the adoption of mobile banking by the elderly in a developing country context. The authors explore the enablers, barriers and perceptions of the elderly towards mobile banking adoption. Data were collected through interviews and focus group sessions with respondents from KwaZulu Natal Province in South Africa. The study relies on the Actor-Network Theory as a lens through which to understand the interrelated factors that influence the elderly’s perception and adoption of mobile banking. The results reveal a low adoption of mobile banking by the elderly. In addition, it was evident that the barriers that influence the adoption of mobile banking by the elderly include a lack of information and understanding, security and trust issues, demographic factors, language, the complexity of mobile banking applications, and resistance to change. The identified important enablers towards the adoption of mobile banking include convenience, unlimited access, cost-effectiveness. The study proposes a mobile banking adoption model for the elderly and highlights the interrelated technical and non-technical factors influencing mobile banking adoption. Additionally, it offers design guiding principles aligned to the elderly’s needs and perceptions of mobile banking."
epay,LongFinancialLiteracyBehavioralTraits2023,p2_77,"market, social, demographic",market,"market, personal, psychological",1,"financial literacy, behavioral traits, and epayment adoption and usage in japan",2023,financial innovation,"trinh quang long, peter j. j. morgan, naoyuki yoshino",springer,japan,stock-market participation,mobile banking,information-technology,user acceptance,knowledge,networks,attitude,wealth,money,NA,3,fin_lit,risk_avrs,herd,,,,,,,personal,psychological,social,,,,,,,0,,,,,quantitative,25000,iv,,,,cashless payment,doi,tam,utaut2,,loc_specific,no_long,,"this study investigates how financial literacy and behavioral traits affect the adoption of electronic payment (epayment) services in japan. we construct a financial literacy index using a representative sample of 25,000 individuals from the bank of japans 2019 financial literacy survey. we then analyze the relationship between this index and the extensive and intensive usage of two types of payment services: electronic money (e-money) and mobile payment apps. using an instrumental variable approach, we find that higher financial literacy is positively associated with a higher likelihood of adopting epayment services. the empirical results suggest that individuals with higher financial literacy use payment services more frequently. we also find that risk-averse people are less likely to adopt and use epayment services, whereas people with herd behavior tend to adopt and use epayment services more. our empirical results also suggest that the effects of financial literacy on the adoption and use of epayment differ among people with different behavioral traits."
In agreement,SeldalFinancialVulnerabilityFinLit2022,p2_78,"demographic, market, social",demographic,"demographic,personal, market ",1,"financial vulnerability, financial literacy, and the use of digital payment technologies",2022,journal of consumer policy,"m. m. naeser seldal, ellen k. nyhus",springer,norway,mobile banking,credit,debt,education,adoption,women,cards,pay,NA,NA,4,fin_lit,age,sex,edu,,,,,,personal,demographic,demographic,demographic,,,,,,0,,,,,quantitative,2202,binary logit,,,,cashless payment,,,,,loc_specific,no_causal,,"the purpose of this study is to test the notion that the use of digital payment methods, such as paying with a mobile phone, increases the risk of financial vulnerability. research from the usa indicates such a relationship, and we study whether this finding can be generalized to other countries. motivated by recent changes in eu legislation related to financial transactions, we also examine willingness to use social media companies for money transfers along with sharing bank account information with third-party financial services. exploiting data collected from a representative sample of the norwegian adult population (n = 2202), we identify differences in financial behaviour and characteristics between users and nonusers of different digital payment methods. in contrast to us studies, we find that mobile payment users were less financially vulnerable than nonusers and those women were more likely users of digital payment technologies than men. younger generations and those with low financial literacy were more financially vulnerable than others, although we did not find this to be related to the use of mobile payment or other digital payment methods. the results show that there is a need for more research from different countries outside of the usa to obtain an understanding of the consequences of increased digitalization of financial services. in addition, as covid-19 has shifted a vast amount of spending online and these newer payment technologies have become more available, we need to gain a better understanding of how they influence financial behaviour."
In agreement,,p2_79,"social, psychological, market",social,"social, psychological",1,how do electronic word of mouth practices contribute to mobile banking adoption?,2020,,amit shankar,,,mobile banking,electronic word of mouth,elaboration likelihood model moderated mediation,initial trust,NA,NA,NA,NA,NA,NA,4,arg_qual,valenc,consist,vol,,,,,,external,external,external,external,,,,,,0,,,,,quantitative,1153,moderation,mediation,,,mobile banking,elm,,,,loc_specific,no_long,,"Mobile banking (m-banking) is the fastest growing and most cost-effective channel for delivering banking services. Electronic word of mouth (eWOM) plays a crucial role in the success of e-commerce. Therefore, the main purpose of this study is to investigate a comprehensive moderated mediated mechanism for enhancing mbanking adoption behavior through positive eWOM triggers using the elaboration likelihood model (ELM). Argument Quality, valence, consistency and volume were considered eWOM triggers, and the conceptual model also included initial trust in m-banking as a mediator and consumer involvement in m-banking as a moderator. A total of 1153 useable surveys completed by the Indian users of social networking websites were used for analysis. The findings showed that of the triggers, argument quality, valence, and consistency enhance intention to adopt m-banking. These effects were mediated by initial trust in m-banking. The mediation effects of initial trust between valence – Intention varied between high and low consumer involvement in m-banking. These findings make several contributions to the literature on marketing communication, particularly to eWOM research and ELM theory. Practically, this study provides several recommendations to banks about how to use positive eWOM for motivating consumers to adopt m-banking."
behavioral intention,,p2_80,"psychological, market, social",psychological,psychological,1,how do institutional pressures and behavioral intentions affect mobile services adoption? the moderating role of perceived risk,2020,,owolabi justine abayomi,,,mobile banking services,institutional pressures,behavioral intention,perceived risk,NA,NA,NA,NA,NA,NA,5,coe_prsr,norm_prsr,mim_prsr,bhv_intnt,prisk,,,,,social,social,social,psychological,perceptive,,,,,0,,,,,quantitative,425,regression,,,,mobile banking,inst,,,,,,,"Technology adoption models have been proposed in the literature to explain mobile banking adoption, but institutional pressures have not been addressed. Drawing upon behavioral intention and institutional theory, this study proposes a model to examine three institutional pressures – coercive, normative and mimetic – and how they affect mobile banking adoption including how such effects are moderated by perceived risk. The model was tested using survey data of 425 respondents. The results reveal institutional pressures, i.e., coercive and mimetic pressures, are positively associated with mobile banking adoption; but normative pressures have negative effects on mobile banking adoption. In addition, behavioral intention plays a mediating role between institutional pressures and mobile banking adoption, while perceived risk negatively moderates the relationship between behavioral intention and adoption. The findings provide valuable insights for bank managers who manage mobile banking services. Implications and suggestions for future research are provided."
In agreement,,p2_81,"psychological, perceptive, market",psychological,psychological,1,how does perceived risk and trust affect mobile banking adoption? empirical evidence from india,2023,,rakesh kumar,,,mobile banking,perceived financial cost,perceived risk,perceived trust,technology adoption,emerging technologies, utaut model,NA,NA,NA,6,peex,efex,socinf,pcost,prisk,ptrst,,,,personal,personal,social,perceptive,perceptive,perceptive,,,,0,,,,,descriptive,253,sem,,,,mobile banking,utaut,,,,sample_size,loc_specific,,"The emergence of high-speed internet (5G) services and the demonetization of the Indian currency by the Government of India in the year 2016 served as catalysts for the growth of banking services, such as internet/mobile banking. The main objective of the study was to investigate the role of perceived ﬁnancial cost, perceived risk, and trust in the adoption of mobile banking services by users. The study extends the Uniﬁed Theory of Acceptance and Use of Technology (UTAUT) to explain the adoption of mobile banking services by young Indian customers. The data from 253 users of age between 18–30 years were collected through a survey questionnaire and were analyzed using structural equation modeling with Amos 22.0. The results revealed that performance expectancy, effort expectancy, social inﬂuence, and perceived ﬁnancial cost exhibited a signiﬁcant positive inﬂuence on behavioral intentions. However, the facilitating conditions were found to exert no effect on actual use. In addition, the results demonstrate that both perceived risk and perceived trust moderate the relationship between behavioral intention and the actual use of mobile banking. The results of the study provide some novel insights into how perceived risk and perceived trust shape the interplay between behavioral intention and the actual use of mobile banking services. The inferences drawn from the study may enhance the understanding of the transformation of behavioral intention into the adoption and actual use of mobile banking services."
perceived value,KarjaluotoHowPerceivedValueDrives2019,p2_82,"psychological, market, personal",perceptive,perceptive,0,how perceived value drives the use of mobile financial services apps,2019,international journal of information management,"heikki karjaluoto, aijaz a. shaikh, hannu saarijarvi, saila saraniemi",elsevier,finland,self-image congruence,personal innovativeness,banking adoption,brand attachment,relationship commitment,information-technology,measurement invariance,consumer perceptions,testing measurement,utilitarian value,4,self_cong,novel,innov,prisk,,,,,,psychological,psychological,personal,perceptive,,,,,,0,,,,,quantitative,1516,sem,,,,mobile banking,doi,,,,loc_specific,no_long,,"mobile information services have revolutionized business models and service delivery methods by facilitating consumer access to information and order placement via mobile apps. in developed markets, mobile banking (mbanking) and mobile payment (m-payment) applications have replaced text-based mobile services. however, extant research has not addressed these mobile financial services apps (mfsas) adequately from the perspective of consumer behavior. thus, the present study developed and tested a series of hypotheses related to the antecedents of perceived value of mfsa use; it also examined how such use affects the development of customers overall relationships with banks. our hypotheses were tested using two samples (n = 992; n = 524) comprising different types of mfsa end-users in one of the leading countries in digital banking, finland. the results supported most of the hypotheses and revealed that self-congruence and new product novelty are the principal drivers of perceived mfsa value. in addition, the findings show that the perceived value of mfsas yields strong positive effects on customers overall satisfaction and commitment to their bank. the present studys key managerial implication is that banks investments in developing mfsas result in improved relationships with customers and increased business."
risk perceptions,shaikhHowRelevantAre2018i,p2_83,"market, perceptive, psychological",perceptive,"perceptive, demographic, psychological",1,"how relevant are risk perceptions, effort, and performance expectancy in mobile banking adoption?",2018,,"aijaz a. shaikh,",,,attitude,developing country,intention,mobile banking adoption,perceived risk,NA,NA,NA,NA,NA,3,prisk,efex,peex,,,,,,,perceptive,personal,personal,,,,,,,0,,,,,quantitative,189,pls,,,,mobile banking,tam,utaut,,,,,,"This article provides a comprehensive overview of the adoption process using evidence from m-banking adoption in Pakistan. A survey design was used and 189 responses were received from across Pakistan and analyzed using Smart PLS application. Findings suggest that research on the effect of risk in the adoption process remains inconclusive. Contrarily, consumers have overcome many fears due to the usefulness, indispensability, high security features, and effort expended in the use of financial services delivered through m-banking. Perceived risk’s (PR) direct influence was found to be generally weak. However, PR plays a major role in the pre-adoption process because it’s weak and direct inhibiting influence become an “enhancer” in the association between effort expectancy (EE) and the three key TAM/UTAUT constructs [performance expectancy (PE), attitude (ATT), and adoption intention (INT)]. Most importantly, the role of EE as a strong driver of PE, ATT, INT, and its significant interaction with PR highlights the unique role that both risk and EE play in the adoption process."
In agreement,,p2_84,"social, psychological, market",social,"social, psychological",1,impact of csr activities towards adoption of mobile banking,2021,cogent business & management,"nguyen van anh, nguyen thi phuong thao",taylor & francis as,vietnam,corporate social-responsibility,initial trust,customer satisfaction,consumer-trust,behavior,company,loyalty,risk,citizenship,performance,4,trst,csr_econ,csr_env,csr_soc_res,,,,,,psychological,social,social,social,,,,,,0,,,,,quantitative,,sem,,,,mobile banking,,,,,loc_specific,sample,,"the purpose of this paper is to propose and examine a conceptual model that best explains key factors influencing vietnamese customers intention to adopt mobile banking (m-banking). this paper examines three dimensions of corporate social responsibility including economic responsibility, environmental responsibility and social responsibility. structural equation modeling (sem) was conducted to analyze the data collected from the field survey questionnaires administered to a convenience sample of vietnamese banking customers. the results showed that behavioral intention is significantly influenced by trust. specifically, csr initiatives play a vital role in building customer trust. therefore, this study has attempted to fill this gap by empirically examining some of the essential factors influencing the adoption of m-banking from the vietnamese customers perspective. finally, practical and theoretical implications for both vietnamese banks and researchers in the m-banking context are also discussed in the concluding section."
In agreement,,p2_85,"personal, psychological, market",perceptive,perceptive,0,impact of online convenience on mobile banking adoption intention: a moderated mediation approac,2021,,charles jebarajakirthy,,,convenience ,mobile banking adoption, intention,perceived hedonic values ,perceived utilitarian values,perceived security concern,NA,NA,NA,NA,6,acc_conv,trsn_conv,ben_conv,pos_conv,conv,,,,,external,external,external,external,external,,,,,2,srch_conv,eval_conv,,,quantitative,446,sem,,,,mobile banking,,,,,loc_specific,sample,no_long,"The purpose of this study to investigate the effect of online convenience dimensions on mobile banking (mbanking) adoption intention using a comprehensive moderated mediation framework. A total of 446 responses from Indian banking users were received using systematic sampling. The covariance-based structural equation modelling and PROCESS macro were used to examine the hypotheses. The results indicated that access conve_ nience, transaction convenience, benefit convenience, and post-benefit convenience have a crucial impact on mbanking adoption intention. The perceived hedonic values and perceived utilitarian values mediate the effects of convenience dimensions on m-banking adoption intention. The study’s findings will help banks to identify which dimension/s of online convenience they should focus on over m-banking platforms to enhance adoption inten_ tion. As, “Convenience” plays a crucial role in mobile commerce adoption intention. This study attempts to examine how convenience dimensions affect m-banking adoption intention."
In agreement,DeLeonInfluenceofSelfServiceTech2020,p2_86,"psychological, perceptive, personal",psychological,"psychological, quality",1,influence of self-service technology (sst) service quality dimensions as a second-order factor on perceived value and customer satisfaction in a mobile banking application,2020,cogent business & management,"myra v. de leon, ringgold p. atienza, daniel susilo",taylor & francis as,"indonesia, philippines",multiple-item scale,loyalty,adoption,internet,usage,determinants,models,impact,NA,NA,9,serv_qual,func,enjy,sec,priv,ass,dsg,conv,,external,external,psychological,external,external,external,external,external,,0,,,,,quantitative,200,sem,,,,mobile banking,sstqual,,,,loc_specific,sample_size,,"banks offer technology-based self-service banking such as mobile banking applications to keep up with technological advancement. the usage of this application requires quality service delivery. however, there is a dearth of literature on post-adoption and service quality assessment of mobile banking applications. therefore, the main objective of this study is to assess if the self-service technology service quality (sstqual) dimensions influence the perceived value and customer satisfaction in mobile banking applications. the data was gathered from 200 users of mobile banking. data analysis was carried out with structural equation modelling (sem) using amos. service quality is a second-order factor composed of seven firstorder factors of quality dimensions. the findings of this study reveal that service quality significantly influences the perceived value and customer satisfaction. these findings provide insights for banks and mobile application providers to develop strategies that will enhance customer experience, perceived value, and customer satisfaction."
generic,,p2_87,"psychological, perceptive, market",perceptive,perceptive,1,influencing mobile banking acceptance among consumers in malaysia,2023,,yuen yee yen,,,acceptance,key factors,mobile banking,perceived benevolence,perceived competence,perceived ease of use,perceived integrity.,NA,NA,NA,6,trst,peou,pu,soc_nrm,int_qual,cltr,customz,,,psychological,perceptive,perceptive,social,external,social,personal,,,0,,,,,quantitative,,regression,,,,mobile banking,,,,,loc_specific,,,"The adoption of mobile banking in Malaysia is low despite the government’s efforts to digitalize the national banking system. Malaysian citizens are uncomfortable embracing mobile banking due to the absence of adequate knowledge-based trust. As only 54.2% of Malaysians are willing to adopt mobile banking in daily life, this research was conducted to boost mobile banking acceptance. This study empirically investigates attributes influencing mobile banking acceptance in Malaysia. New attributes of mobile banking acceptance, such as perceived competence, perceived benevolence and perceived integrity, have been examined in this study to address the acceptance problems faced by the banking industry and customers. The purposive sampling method was used where the targeted respondents must have prior experience in mobile banking. The data was collected using an adapted questionnaire, and a total of 385 valid responses were analyzed. For hypothesis testing, structural equation modeling (SEM) was used to confirm the relationship between variables. Perceived ease of use, perceived relative advantage, perceived compatibility, perceived competence, perceived benevolence, and perceived integrity were found to have a significant effect on mobile banking acceptance. Understanding the impact of new constructs, such as perceived competence, perceived benevolence and perceived integrity, benefits banking institutions, policy makers and mobile commerce practitioners in addressing problems relating to mobile banking acceptance."
In agreement,,p2_88,"psychological, personal, perceptive",psychological,psychological,1,integrating cognitive antecedents into tam to explain mobile banking behavioral intention: a sem-neural network modeling,2019,,sujeet kumar sharma,,,autonomous motivation ,controlled motivation, tam ,mobile banking,perceived trust,NA,NA,NA,NA,NA,5,trst,auto_motiv,ctrl_motiv,pu,peou,,,,,psychological,personal,personal,perceptive,perceptive,,,,,0,,,,,,225,sem,,,,mobile banking,tam,,,,no_long,sample,,"Higher penetration of smartphones and 3G and 4G mobile networks have led to the higher usage of smartphones for mobile banking activities. This paper identifies key antecedents influencing the mobile banking acceptance. The research extends the original Technology Acceptance Model, by incorporating two cognitive antecedents, namely, autonomous motivation and controlled motivation, in addition to trust components for understanding adoption. Data were collected from 225 mobile banking users and analyzed using an innovative two-stage research methodology. In the first stage, structural equation modeling was employed to test the research hypotheses and identify significant antecedents influencing mobile banking acceptance. In the second stage, the significant antecedents obtained from the first stage were input to a neural network model for ranking. The results showed that trust and autonomous motivation are the two main predictors influencing mobile banking acceptance. Theoretical and practical implications of findings are discussed."
In agreement,,p2_89,"cultural, demographic, personal",cultural,"cultural, psychological",1,integrating trust with extended utaut model: a study on islamic,2023,,ubais parayil iqbal,,,islamic banking,maldives,trust,utaut2,m-banking,behavioral intention,NA,NA,NA,NA,5,trst,socinf,efex,ef,habt,,,,,psychological,social,personal,external,personal,,,,,0,,,,,explanatory,329,pls,,,,mobile banking,utaut,utaut2,,,loc_specific,sample,islamicbanks,"Purpose – This study aims to focus on delineating the drivers of intention to adopt mobile banking (mbanking) and its actual use among Islamic banking customers by extending the UTAUT2 model with the trust factor. The study also examined the moderating roles of age, gender and experience in the model."
epay,,p2_90,"market, psychological, cultural",market,"market, cultural, extrinsic",1,intention to use e-payments from the perspective of the unified theory of acceptance and use of technology (utaut): evidence from yemen,2022,,fahd alduais,,,technology acceptance,facilitating conditions,intention,e-payment,yemen,NA,NA,NA,NA,NA,4,peex,efex,socinf,fac_cond,,,,,,personal,personal,social,external,,,,,,0,,,,,empirical,486,pls sem,,,,cashless payment,utaut,,,,loc_specific,sample,,"This study explores the challenges facing the current e-payment systems and investigates the main factors that support using the e-payment system. This study used a cross-sectional approach. An online survey was conducted on Yemeni consumers as part of the collection of data. The data from 486 questionnaires were analyzed using smartPLS4 and Jamovi software for structural model analysis and statistical analysis. According to the PLS-SEM results, the structural model shows that R2 is 0.757, which explains the variances in behavioral intention via all the constructs. Statistically, the intention to use e-payment systems is signiﬁcantly and positively inﬂuenced by performance and effort expectancies and social inﬂuence. In contrast, facilitation conditions are signiﬁcantly and negatively correlated with behavioral intention. This is attributed to consumers’ view of the infrastructure of Internet services, which does not contribute to the behavioral intention and acceptance of using electronic payment in Yemen. Contrary to expectations, age does not moderate the relationship between performance expectancy, social inﬂuence, and intention to use e-payment systems; hence, the related hypothesis was not supported. This study provides valuable suggestions for policymakers, designers, developers, and researchers, enabling them to better understand the critical aspects of using the electronic payment system. This study developed a model for predicting the likelihood of acceptance of electronic payments in a country that has not given adequate attention to this issue. An application and evaluation of the UTAUT model in Yemen are presented in this study."
In agreement,,p2_91,"personal, psychological, demographic",personal,"personal, psychological, cultural",1,intention to use mobile banking services: an islamic banking customers perspective from sri lanka,2022,,sabraz nawaz samsudeen,,,utaut2,behavioural intention,mobile banking,islamic banking,srilanka,NA,NA,NA,NA,NA,6,peex,efex,socinf,fac_cond,hed_motiv,habt,,,,personal,personal,social,external,psychological,personal,,,,0,,,,,quantitative,582,pls sem,,,,mobile banking,utaut2,,,,islamicbanks,incomp_fac,,"Purpose – This paper aims to identify the determinants of the intention to use mobile banking services among Islamic Banking customers in Sri Lanka. The study was carried out based on the Uniﬁed Theory of Acceptance and Use of Technology (UTAUT 2). The predictor variables of performance expectancy, effort expectancy, social inﬂuence, facilitating conditions, hedonic motivation and habit were used to predict the variable of behavioural intention to use. The moderating variables entail age, gender and experience."
In agreement,,p2_92,"psychological, market, demographic",psychological,psychological,1,investigating customers continuous trust towards mobile banking apps,2023,humanities & social sciences communications,"maohao che, sze yee ashley say, han yu, qingji zhou, jared shu, wen sun, xi luo, hong xu",springer,singapore,empirical-examination,initial trust,information-systems,consumer adoption,user acceptance,technology,experience,intention,impact,antecedents,6,peou,priv_asr,sec_feat,org_repu,cus_sup,prv_exp,,,,perceptive,external,external,external,external,personal,,,,0,,,,,quantitative,450,sem,,,,mobile banking,tam,,,,limit_scope,question,,"gaining continuous trust from mobile banking customers is a critical step in retaining customers for their usage of the provided services. the current study aims to investigate how customers continuous trust is formed at the continuous-use stage. online survey responses from 450 frequent mobile banking users are collected. the data were analysed using structural equation modelling (sem) based on a proposed model that predicts trust. the findings successfully validated the model and its reduced form. based on the model, customers continuous trust can be predicted by mobile banking apps perceived ease of use, privacy assurance and security features, organisation reputation, customer support, and customers previous experience. furthermore, the interactive relationships among these proposed factors are proposed and validated in the model. by studying trust in mobile banking past the initial adoption stage, we provide evidence to support the theoretical framework of investigating mobile banking continuous trust from the three constructs-mobile app (perceived ease of use, privacy assurance, security features), organisation (reputation, customer support), and customer (prior experience)."
In agreement,,p2_93,"social, personal, market",social,social,1,investigating different levels of mobile banking usage: a mixed-methods study in china,2020,ieee access,"jialiang huang, liyun zhou",ieee-inst electrical electronics engineers inc,china,word-of-mouth,acceptance,impact,trust,NA,NA,NA,NA,NA,NA,5,conv,cost_save,info_gain,wom,dec_qual,,,,,external,external,external,social,external,,,,,0,,,,,mixed method qualquant,,pls sem,,,,mobile banking,ug,,,,loc_specific,question,,"m-banking usage has attracted great attention from literature in recent years. the goal of this study is to provide new insights into m-banking usage by investigating the motivations for m-banking usage and how these motivations can drive different levels of m-banking usage respectively. a quantitative dominant mixed-methods design is applied in this study. first, a qualitative study through interviews is conducted to identify the motivations for m-banking usage. five m-banking motivations are identified from the qualitative study, namely convenience, cost saving, information gaining, word-of-mouth and decision-making quality. second, a quantitative study through survey is conducted to test the effects of motivations on different levels of m-banking usage. in general, results indicate that different levels of m-banking usage could be driven by different m-banking motivations."
In agreement,,p2_94,"psychological, market, personal",cultural,"cultural, perceptive, social",0,islamic mobile banking smart services adoption and use in jordan,2022,,saad g. yaseen,,,behavioural intention,islamic banks,islamic mobile banking adoption,smart services,NA,NA,NA,NA,NA,NA,4,peex,ptrst,hed_motiv,socinf,,,,,,personal,perceptive,psychological,social,,,,,,2,efex,socinf,,,"survey, empirical",358,sem,,,,mobile banking,utaut,utaut2,,,no_long,no_causal,loc_specific,"Purpose - The research identifies the predictors of Islamic mobile banking (IMB) smart services adoption and usage in Jordan.Design/methodology/approach - Based on the Unified Theory of the Acceptance and Use of Technology (UTAUT) and the Unified Theory of the Acceptance and Use of Technology 2 (UTAUT2), an extended and modified model that encompasses perceived trust was developed. The sample comprised 358 customers from Islamic banks (IBs) in Jordan, and structural equation modelling was applied to examine data drawn from the sample.Findings - The research framework presented 0.728% of the behavioural intention variance and 0.455% of the use behaviour. Results discovered that performance expectancy, perceived trust and hedonic motivation have significant relations with behavioural intention. The finding that effort expectancy has an insignificant effect and that social influence has a significant negative influence on behavioural intention was unexpected. Research limitations/implications - The research has successfully verified the effect of performance expectancy, perceived trust and hedonic motivation on the customer's intention to use IMB smart services. However, the research data findings are based on the cross-sectional design.Practical implications - The outcomes hold implications for marketing strategy makers who are responsible for promoting IMB smart services in IBs. Originality/value - This research presents a deeper insight into IMB adoption and use. The research employed UTAUT and UTAUT2 as the baseline model and incorporates perceived trust to estimate behavioural intention. To the best of the authors' knowledge, this could be the first inquiry that examines IMB smart services adoption and use in Jordan."
